"authors","title","doi","journal","habitat","region","scale_name","scale_size_m2","scale_size_km","type_study","notes"
"Comita, Liza S.; Hubbell, Stephen P.","Local neighborhood and species' shade tolerance influence survival in a diverse seedling bank","10.1890/08-0451.1","ECOLOGY","forest","Central America","local",NA,0.01,"obs",""
"Comita, Liza S.; Hubbell, Stephen P.","Local neighborhood and species' shade tolerance influence survival in a diverse seedling bank","10.1890/08-0451.1","ECOLOGY","forest","Central America","plot",5e+05,NA,"obs",""
"Comita, Liza S.; Hubbell, Stephen P.","Local neighborhood and species' shade tolerance influence survival in a diverse seedling bank","10.1890/08-0451.1","ECOLOGY","forest","Central America","plot",1,NA,"obs",""
"Grace, James B.; Harrison, Susan; Damschen, Ellen I.","Local richness along gradients in the Siskiyou herb flora: R. H. Whittaker revisited","10.1890/09-2137.1","ECOLOGY","forest","North America","local",1,NA,"obs",""
"Grace, James B.; Harrison, Susan; Damschen, Ellen I.","Local richness along gradients in the Siskiyou herb flora: R. H. Whittaker revisited","10.1890/09-2137.1","ECOLOGY","forest","North America","plot",1000,NA,"obs",""
"Radhamoni, Harikrishnan Venugopalan Nair; Queenborough, Simon A.; Arietta, A. Z. Andis; Suresh, Hebbalalu S.; Dattaraja, Handanakere S.; Kumar, Subramanya Shravan; Sukumar, Raman; Comita, Liza S.","Local- and landscape-scale drivers of terrestrial herbaceous plant diversity along a tropical rainfall gradient in Western Ghats, India","10.1111/1365-2745.14075","JOURNAL OF ECOLOGY","forest","Asia","local",1,NA,"obs",""
"Radhamoni, Harikrishnan Venugopalan Nair; Queenborough, Simon A.; Arietta, A. Z. Andis; Suresh, Hebbalalu S.; Dattaraja, Handanakere S.; Kumar, Subramanya Shravan; Sukumar, Raman; Comita, Liza S.","Local- and landscape-scale drivers of terrestrial herbaceous plant diversity along a tropical rainfall gradient in Western Ghats, India","10.1111/1365-2745.14075","JOURNAL OF ECOLOGY","forest","Asia","landscape",130000,NA,"obs","\across plots\\"\""
"Douda, Jan; Doudova-Kochankova, Jana; Boublik, Karel; Drasnarova, Alena","Plant species coexistence at local scale in temperate swamp forest: test of habitat heterogeneity hypothesis","10.1007/s00442-011-2211-x","OECOLOGIA","forest","Europe","local",NA,6e-04,"obs",""
"Douda, Jan; Doudova-Kochankova, Jana; Boublik, Karel; Drasnarova, Alena","Plant species coexistence at local scale in temperate swamp forest: test of habitat heterogeneity hypothesis","10.1007/s00442-011-2211-x","OECOLOGIA","forest","Europe","local",NA,0.0012,"obs",""
"Douda, Jan; Doudova-Kochankova, Jana; Boublik, Karel; Drasnarova, Alena","Plant species coexistence at local scale in temperate swamp forest: test of habitat heterogeneity hypothesis","10.1007/s00442-011-2211-x","OECOLOGIA","forest","Europe","local",NA,0.0114,"obs",""
"Douda, Jan; Doudova-Kochankova, Jana; Boublik, Karel; Drasnarova, Alena","Plant species coexistence at local scale in temperate swamp forest: test of habitat heterogeneity hypothesis","10.1007/s00442-011-2211-x","OECOLOGIA","forest","Europe","plot",0.36,NA,"obs",""
"Laliberte, Etienne; Norton, David A.; Scott, David","Contrasting effects of productivity and disturbance on plant functional diversity at local and metacommunity scales","10.1111/jvs.12044","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","local",1,NA,"exp",""
"Laliberte, Etienne; Norton, David A.; Scott, David","Contrasting effects of productivity and disturbance on plant functional diversity at local and metacommunity scales","10.1111/jvs.12044","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","metacommunity",400,NA,"exp",""
"Laliberte, Etienne; Norton, David A.; Scott, David","Contrasting effects of productivity and disturbance on plant functional diversity at local and metacommunity scales","10.1111/jvs.12044","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","block",15000,NA,"exp",""
"Laliberte, Etienne; Norton, David A.; Scott, David","Contrasting effects of productivity and disturbance on plant functional diversity at local and metacommunity scales","10.1111/jvs.12044","JOURNAL OF VEGETATION SCIENCE","grassland","Oceania","plot",2500,NA,"exp",""
"Puhl, L. E.; Perelman, S. B.; Batista, W. B.; Burkart, S. E.; Leon, R. J. C.","Local and regional long-termdiversity changes and biotic homogenization in two temperate grasslands","10.1111/jvs.12179","JOURNAL OF VEGETATION SCIENCE","grassland","South America","local",2500,NA,"obs",""
"Puhl, L. E.; Perelman, S. B.; Batista, W. B.; Burkart, S. E.; Leon, R. J. C.","Local and regional long-termdiversity changes and biotic homogenization in two temperate grasslands","10.1111/jvs.12179","JOURNAL OF VEGETATION SCIENCE","grassland","South America","regional",NA,NA,"obs",""
"Shipley, Bill; Paine, C. E. Timothy; Baraloto, Christopher","Quantifying the importance of local niche-based and stochastic processes to tropical tree community assembly","10.1890/11-0944.1","ECOLOGY","forest","South America","local",10000,NA,"obs",""
"Shipley, Bill; Paine, C. E. Timothy; Baraloto, Christopher","Quantifying the importance of local niche-based and stochastic processes to tropical tree community assembly","10.1890/11-0944.1","ECOLOGY","forest","South America","local",2500,NA,"obs",""
"Shipley, Bill; Paine, C. E. Timothy; Baraloto, Christopher","Quantifying the importance of local niche-based and stochastic processes to tropical tree community assembly","10.1890/11-0944.1","ECOLOGY","forest","South America","local",400,NA,"obs",""
"Shipley, Bill; Paine, C. E. Timothy; Baraloto, Christopher","Quantifying the importance of local niche-based and stochastic processes to tropical tree community assembly","10.1890/11-0944.1","ECOLOGY","forest","South America","landscape",NA,NA,"obs",""
"Endara, Maria-Jose; Soule, Abrianna J.; Forrister, Dale L.; Dexter, Kyle G.; Pennington, R. Toby; Nicholls, James A.; Loiseau, Oriane; Kursar, Thomas A.; Coley, Phyllis D.","The role of plant secondary metabolites in shaping regional and local plant community assembly","10.1111/1365-2745.13646","JOURNAL OF ECOLOGY","forest","South America","local",1e+06,NA,"obs",""
"Endara, Maria-Jose; Soule, Abrianna J.; Forrister, Dale L.; Dexter, Kyle G.; Pennington, R. Toby; Nicholls, James A.; Loiseau, Oriane; Kursar, Thomas A.; Coley, Phyllis D.","The role of plant secondary metabolites in shaping regional and local plant community assembly","10.1111/1365-2745.13646","JOURNAL OF ECOLOGY","forest","South America","regional",NA,NA,"obs",""
"Williams, Neal M.; Winfree, Rachael","Local habitat characteristics but not landscape urbanization drive pollinator visitation and native plant pollination in forest remnants","10.1016/j.biocon.2012.12.035","BIOLOGICAL CONSERVATION","forest","North America","landscape",NA,1,"exp",""
"Williams, Neal M.; Winfree, Rachael","Local habitat characteristics but not landscape urbanization drive pollinator visitation and native plant pollination in forest remnants","10.1016/j.biocon.2012.12.035","BIOLOGICAL CONSERVATION","forest","North America","local",NA,0.2,"exp",""
"Forey, Estelle; Lortie, Christopher J.; Michalet, Richard","Spatial patterns of association at local and regional scales in coastal sand dune communities","10.1111/j.1654-1103.2009.01095.x","JOURNAL OF VEGETATION SCIENCE","desert and tundra","Europe","regional",NA,240,"obs",""
